Url,Price,Building Area,Land Area
https://www.lamudi.co.id/harga-terjangkau-dekat-stasiun-depok.html,150000000,30,34
https://www.lamudi.co.id/rumah-classic-modern-termurah-jagakarsa.html,1700000000,130,95
https://www.lamudi.co.id/rumah-baru-mewah-harga-termurah.html,1175000000,65,34
https://www.lamudi.co.id/jual-rumah-lama-kebayoran-baru-patiunus-166009955770.html,38000000000,628,628
https://www.lamudi.co.id/rumah-2-lantai-di-jual-di-daerah-pkp-ciracas-jakar-166072414245.html,1100000000,120,60
https://www.lamudi.co.id/dijual-rumah-mewah-baru-dijakarta-16602034816.html,1377500000,68,36
https://www.lamudi.co.id/rumah-siap-bangun-sesuai-idaman-anda-dengan-kolam-166089069586.html,1150000000,57,94
https://www.lamudi.co.id/rumah-second-murah-townhouse-jagakarsa-165979321387.html,2000000000,180,120
https://www.lamudi.co.id/rumah-design-industrial-di-matoa-dekat-3-gate-tol-di-ciganjur-jagakarsa.html,1900000000,160,107
https://www.lamudi.co.id/rumah-classic-3-lantai-mewah-murah.html,2600000000,230,80
https://www.lamudi.co.id/jual-rumah-dengan-private-pool-di-jakarta-selatan-166002422754.html,3500000000,215,135
https://www.lamudi.co.id/rumah-kluster-murah-ps-rebo-bonus-motor-listrik-ne-166030498117.html,1155000000,77,75
https://www.lamudi.co.id/townhouse-exclusive-di-kemang-jakarta-selatan-tinggal-3-unit.html,3090500000,161,73
https://www.lamudi.co.id/rumah-dijual-di-jagakarsa-jakarta-selatan-modern-m-16594505250.html,1650000000,130,75
https://www.lamudi.co.id/rumah-mewah-dijual-di-jakarta-selatan-dekat-mall-c-166021866838.html,2600000000,200,96
https://www.lamudi.co.id/rumah-sia-huni-3-lantai-kebagusan.html,3600000000,250,108
https://www.lamudi.co.id/amna-cibubur-modern-living-complex-at-cibubur-east-jakarta-4.html,400000000,72,75
https://www.lamudi.co.id/rumah-murah-2-jutaan-perbulan-gn-sindur-165915986452.html,314000000,45,80
https://www.lamudi.co.id/rumah-mewah-bintaro-jaya-seltor-dua-jakarta-selatan.html,7650000000,498,530
https://www.lamudi.co.id/rumah-2-lantai-dekat-tb-simatupang.html,1000000000,75,105
https://www.lamudi.co.id/rumah-mewah-bebas-banjir-di-cipayung-jaktim.html,1002540000,80,73
https://www.lamudi.co.id/rumah-menteng-2-lantai-1.html,78000000000,609,830
https://www.lamudi.co.id/rumah-baru-jagakarsa-1.html,2100000000,120,88
https://www.lamudi.co.id/rumah-mewah-siap-huni-private-pool-american-classi-166046166242.html,5500000000,280,221
https://www.lamudi.co.id/rumah-murah-meriah-2-lantai-masuk-mobil-166014380477.html,650000000,70,67
https://www.lamudi.co.id/rumah-mewah-dp-10-juta-allin-di-cibiinong-166039244340.html,470000000,45,80
https://www.lamudi.co.id/rumah-kualitas-premium-siap-huni-bonus-interior-mewah-dekat-ke-tol-bambu-apus.html,2475000000,140,100
https://www.lamudi.co.id/town-house-graha-baru-veteran-bintaro.html,13900000000,450,527
https://www.lamudi.co.id/dijual-rumah-mewah-tengah-kota-166012494580.html,85000000000,2000,700
https://www.lamudi.co.id/jual-cepat-jl-laksana-kebayoran-baru.html,15500000000,250,316
https://www.lamudi.co.id/rumah-ready-siap-huni-di-cibubur-akses-mudah-tingg-16591664036.html,750000000,87,68
https://www.lamudi.co.id/dijual-rumah-baru-minimalais-modern-termewah.html,2168000000,84,64
https://www.lamudi.co.id/rumah-mewah-2-lantai-3-m.html,3000000000,137,147
https://www.lamudi.co.id/rumah-di-jual-murah-di-tebet-165966773737.html,11000000000,327,437
https://www.lamudi.co.id/rumah-mewah-elegan-3-lantai-cempaka-putih-tengah-jakarta-pusat.html,1300000000,64,34
https://www.lamudi.co.id/rumah-mewah-dengan-kolam-renang-luas-dekat-cilanda-165948792513.html,4500000000,220,168
https://www.lamudi.co.id/rumah-mewah-elegan-3-lantai-cempaka-putih-tengah-jakarta-pusat.html,1300000000,64,34
https://www.lamudi.co.id/perumahan-subsidi-terdekat-cibubur-puri-asri-3.html,178000000,30,60
https://www.lamudi.co.id/rumah-bebas-banjir-jakarta-bogor-tangerang-bekasi-165881893360.html,300000000,36,72
https://www.lamudi.co.id/area-senopati-kebayoran-baru.html,24000000000,200,360
https://www.lamudi.co.id/rumah-di-kemang-jaya-apartemen-taman.html,13500000000,450,400
https://www.lamudi.co.id/rumah-1-5-lantai-siap-huni-dgn-luas-167m2-di-kompl-165881898934.html,2800000000,200,167
https://www.lamudi.co.id/harvest-city-banjir-promo-dengan-dp-0-166030153342.html,900000000,52,72
https://www.lamudi.co.id/rumah-mewah-dengan-kolam-renang-dalam-komplek-deka-165948880657.html,5500000000,330,163
https://www.lamudi.co.id/palmerah-residen-rumah-baru-termewah-harga-ideal-166032124129.html,2061000000,79,58
https://www.lamudi.co.id/rumah-minimalis-2-lantai-lokasi-dekat-suntermall-dan-stadion-jis.html,450000000,33,21
https://www.lamudi.co.id/rumah-dijual-cepat-165901715843.html,700000000,94,94
https://www.lamudi.co.id/dijual-murah-rumah-ruko-rukan-gudang-di-daerah-glodok-pinangsia-kota-mangga-besar-1.html,12500000000,564,272
https://www.lamudi.co.id/cluster-murah-di-matraman-jakarta-timur.html,330000000,45,27
https://www.lamudi.co.id/hunian-tipe-cluster-di-paseban-timur-jakarta-pusat.html,350000000,45,22
https://www.lamudi.co.id/rumah-pribadi-di-jual-lubang-buaya-cipayung-jakart-165890842819.html,4600000000,145,210
https://www.lamudi.co.id/dijual-rumah-baru-akses-tol-jorr-bambu-apus-165944409624.html,1175000000,60,96
https://www.lamudi.co.id/asya-jakarta-rumah-3-lantai-by-astra-165837501634.html,5500000000,208,135
https://www.lamudi.co.id/dijual-rumah-siap-huni-di-area-jl-cipete-dalam-cip-165934248793.html,22000000000,700,650
https://www.lamudi.co.id/dijual-rumah-daerah-manggarai-strategis-ditengah-kota-jakarta.html,2800000000,200,199
https://www.lamudi.co.id/rumah-murah-2lantai-gn-sindur-promo-3juta-5tahun-165915982628.html,314000000,45,80
https://www.lamudi.co.id/rumah-modern-murah-di-jakarta-pusat-166002394968.html,540300000,20,38
https://www.lamudi.co.id/rumah-classic-luxury-dengan-tanah-luas-di-jagakars-165980418627.html,3200000000,270,200
https://www.lamudi.co.id/hunian-premium-di-cluster-sierra-serenia-hills-jakarta-selatan-6-unit-terakhir.html,4075740900,204,104
https://www.lamudi.co.id/rumah-tebet-utara-hadap-jalan-cocok-utk-rumah-kost-166039789691.html,16000000000,227,628
https://www.lamudi.co.id/miliki-rumah-3-lantai-di-bawah-1-m-di-kawasan-menteng.html,750000000,153,53
https://www.lamudi.co.id/rumah-river-8-kalibata-di-jantung-jakarta-selatan-165882655463.html,1498750000,43,14
https://www.lamudi.co.id/rumah-mewah-area-setrategis-dekat-tol-jor-kemang.html,18000000000,450,443
https://www.lamudi.co.id/rumah-siap-di-bangun-sesuai-idaman-anda-165934644067.html,1150000000,60,92
https://www.lamudi.co.id/dijual-rumah-modern-di-kebon-jeruk-jakarta-barat.html,1100000000,71,52
https://www.lamudi.co.id/rumah-minimalis-5-menit-stasiun-depok-1.html,150000000,28,34
https://www.lamudi.co.id/rumah-mewah-pinggir-jalan-dekat-exit-tol-jorr-2-ciledug-kebayoran-lama.html,7200000000,450,435
https://www.lamudi.co.id/dijual-rumah-di-patiunus-lokasi-sangat-stragis-kebayoran-baru-jakarta-selatan.html,42000000000,390,628
